square;price;floor;type;;
24.7;3.8;18;Ст;;
24.97;3.8;18;Ст;;
24.7;3.8;19;Ст;;
27.45;3.85;14;Ст;;
25.18;3.85;18;Ст;;
25.18;3.85;19;Ст;;
24.55;3.85;21;Ст;;
24.97;3.85;21;Ст;;
24.55;3.85;22;Ст;;
25.04;3.9;21;Ст;;
24.55;3.9;23;Ст;;
24.97;3.9;23;Ст;;
27.6;3.95;2;Ст;;
26.61;3.95;16;Ст;;
26.61;3.95;17;Ст;;
27.16;3.95;17;Ст;;
25.04;3.95;23;Ст;;
24.55;3.95;25;Ст;;
24.97;3.95;25;Ст;;
25.04;4;25;Ст;;
24.55;4;26;Ст;;
24.97;4;26;Ст;;
29.21;4.05;9;Ст;;
26.61;4.05;18;Ст;;
27.01;4.05;21;Ст;;
25.04;4.05;26;Ст;;
26.63;4.1;21;Ст;;
27.01;4.1;23;Ст;;
27.6;4.15;5;Ст;;
28.87;4.15;14;Ст;;
26.63;4.15;23;Ст;;
27.01;4.15;25;Ст;;
26.63;4.2;25;Ст;;
27.01;4.2;26;Ст;;
27.39;4.25;8;Ст;;
27.39;4.25;9;Ст;;
26.63;4.25;26;Ст;;
33.8;4.3;8;Ст;;
28.87;4.35;16;Ст;;
30.62;4.4;5;Ст;;
29.2;4.4;8;Ст;;
33.8;4.4;9;Ст;;
26.76;4.4;14;Ст;;
32.83;4.45;26;Ст;;
32.75;4.45;26;Ст;;
24.94;4.5;5;Ст;;
30.41;4.5;8;Ст;;
33.8;4.5;13;Ст;;
26.76;4.5;17;Ст;;
24.94;4.6;10;Ст;;
24.94;4.6;10;Ст;;
30.41;4.6;12;Ст;;
33.66;4.6;15;Ст;;
26.76;4.6;18;Ст;;
26;4.65;2;1к;;
29.8;4.65;14;Ст;;
24.94;4.65;16;Ст;;
28.51;4.65;17;Ст;;
25.3;4.7;4;1к;;
25.3;4.7;5;Ст;;
24.94;4.7;19;Ст;;
24.94;4.7;21;Ст;;
26.6;4.7;21;Ст;;
25.53;4.75;5;Ст;;
25.53;4.75;5;Ст;;
29.8;4.75;17;Ст;;
28.51;4.75;18;Ст;;
24.94;4.75;23;Ст;;
44.1;4.8;2;Ст;;
26.6;4.8;24;Ст;;
26.6;4.8;25;Ст;;
29.8;4.85;18;Ст;;
28.35;4.85;21;Ст;;
24.94;4.85;24;Ст;;
24.94;4.85;25;Ст;;
24.94;4.85;25;Ст;;
24.94;4.85;26;Ст;;
24.94;4.85;27;Ст;;
34.91;4.9;5;Ст;;
29.64;4.95;21;Ст;;
28.35;4.95;24;Ст;;
28.35;4.95;25;Ст;;
24.94;4.95;29;Ст;;
29.64;5.05;24;Ст;;
24.94;5.05;30;Ст;;
34.83;5.1;7;Ст;;
34.66;5.1;16;1к;;
27.11;5.15;24;Ст;;
27.89;5.25;20;Ст;;
27.11;5.25;27;Ст;;
27.11;5.25;27;Ст;;
27.11;5.25;29;Ст;;
27.11;5.25;29;Ст;;
